チャンネル登録者数			1.3万人			1.3万人			1.32万人							1.32万人		1.32万人
	https://www.youtube.com/@DPFP_sub			1.32万人		コメント数	高評価数	視聴回数	コメント数	高評価数	視聴回数	コメント数	高評価数	視聴回数	コメント数	高評価数	視聴回数	コメント数	高評価数	視聴回数
28	https://www.youtube.com/watch?v=QYZz2y-yKAs	動画	4月1日	就職氷河期課題対策の進捗は⁉︎ 臼木さんに直接聞いてみた	"臼木秀剛
森ようすけ"	32	241	1828				42	286	2216	43	287	2253	45	287	2283
29	https://www.youtube.com/watch?v=27FEExI5xtY	ライブ	4月2日	【LIVE配信】本会議登壇直後 #橋本幹彦 議員に突撃！ #国民民主党 #小林さやか #かごしま彰宏	"かごしま彰宏
小林さやか
橋本幹彦"	7	228	1382				10	353	3376	10	353	3412	11	356	3462
30	https://www.youtube.com/shorts/odl9xgmZFQ8	ショート	4月2日	【閣法解説】民法等改正法案 #おだけかい #国民民主党	おだけかい	3	70	1,314							3	187	3259	3	188	3285
31	https://www.youtube.com/watch?v=1o290OBMYE0	ライブ	4月3日	【LIVE配信】予算委員会後の2人に直撃！初質問どうだった？ ※続きの収録版を公開しています #国民民主党	"江原くみ子
水野孝一
かごしま彰宏"							10	234	2613	10	236	2662	10	241	2714
32	https://www.youtube.com/watch?v=A81W0VA-pO0	動画	4月3日	【続き収録版】参院予算委員会後の江原さんに直撃 #国民民主党	"江原くみ子
かごしま彰宏"				6	146	1103	6	153	1178	6	153	1193	6	154	1220
33	https://www.youtube.com/watch?v=bX8WSwMDpZY	動画	4月3日	党大会って何するの？ 竹詰仁実行委員長が解説💡 #国民民主党	"竹詰仁
かごしま彰宏"				16	357	3571	16	371	3849	16	376	3956	16	379	4073
34	https://www.youtube.com/shorts/fsXOaO213JY	ショート	4月3日	【閣法解説】予備自衛官等兼業特例法案 #橋本幹彦 #国民民主党	橋本幹彦													10	262	2786
35	https://www.youtube.com/watch?v=Oga6nCszKMI	ショート	4月4日	【閣法解説】経済安保推進法等改正案 #森ようすけ #国民民主党	森ようすけ				4	157	1351				5	190	1641	5	194	1707
36	https://www.youtube.com/watch?v=9uQ5vfkCgz0	ライブ	4月6日	【LIVE配信】予算委の質疑振り返り！ #足立康史 議員、 #原田秀一 議員に直撃	"足立康史
原田秀一
小林さやか"							49	814	7738	52	854	8891	53	888	10036
37	https://www.youtube.com/shorts/O0P6P1g1eYA	ショート	4月6日	【閣法解説】裁判所職員定員法改正案 #おだけかい #国民民主党	おだけかい							2	130	1121	2	140	1241	2	152	1365
38	https://www.youtube.com/shorts/ffSCX8wyGfg	ショート	4月6日	予算委振り返り！原田さん、足立さん会ぜひご覧ください！ #国民民主党 #原田秀一 #足立康史	"足立康史
原田秀一
小林さやか"							9	260	5166	9	280	5526	9	326	6305
39	https://www.youtube.com/watch?v=U5KNnA-eVQE	動画	4月7日	予算の修正案を提出！どんな内容？政調会長が解説します💡	"浜口誠
かごしま彰宏"							6	236	1275	13	333	2709	14	350	3064
40	https://www.youtube.com/shorts/gPDOebxJSXE	ショート	4月7日	【閣法解説】第16次地方分権一括法案 #日野紗里亜	日野紗里亜							3	94	485	4	184	1608	5	207	1961
41	https://www.youtube.com/shorts/l6a_tMBmBAA	ショート	4月9日	【閣法解説】健康保険法改正案 #浅野哲 #国民民主党	浅野哲													8	232	2740
42	https://www.youtube.com/shorts/ZpcPJvqwcmE	ショート	4月9日	【閣法解説】入管法等改正法案 #おだけかい #国民民主党	おだけかい													1	117	1744
